Table Name,record type,record sub_type,purpose,included in beta,FK - On Creation,indexing stradegy,Constraints,On Delete Behavior,record creation trigger,table trigger creation,table trigger record,on creation,on delete,data migration notes,audit requirements
sales_approvals,sales,approvals,a staging area where estimates wait for manager review before being sent to customers.,no,"sales_approvals_approver_id_fkey: approver_id → users.id
sales_approvals_document_id_fkey: document_id → documents.id
sales_approvals_requestor_id_fkey: requestor_id → users.id","idx_sales_approvals_approver, idx_sales_approvals_status, idx_sales_approvals_requestor, idx_sales_approvals_document, sales_approvals_pkey","CHECK (id IS NOT NULL), CHECK (status IS NOT NULL), FOREIGN KEY (approver_id) REFERENCES users(id), FOREIGN KEY (document_id) REFERENCES documents(id), FOREIGN KEY (requestor_id) REFERENCES users(id), PRIMARY KEY (id)",,,,,,,,
sales_drives ,entities,workflows,drives organzie a pattern of buckets,yes,null,sales_drives_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
sales_engine_item_types,identification,estimate/financial items - dynamic,"Categorizes different types of items that can be sold through the sales engine, fundamental to salesBlanket's estimate and pricing system.",,null,sales_engine_item_types_pkey,"CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (id), NOT NULL (name), NOT NULL (updated_at)",,,,,,,,
sales_engine_item_zones,geo spacial entities,control what sales/objects are avaiable by zones.  ,granule control - orginal integration will be with google sheets for consumption,no,sales_engine_item_zones_item_id_fkey: item_id → sales_engine_items.id,sales_engine_item_zones_pkey,"CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (price IS NOT NULL), CHECK (updated_at IS NOT NULL), CHECK (zone_id IS NOT NULL), FOREIGN KEY (item_id) REFERENCES sales_engine_items(id), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (id), NOT NULL (price), NOT NULL (updated_at), NOT NULL (zone_id)",,,,,,,,
sales_engine_items,data,estimate/financial items - dynamic,this runs bidPerfect,no,null,sales_engine_items_pkey,"CHECK (created_at IS NOT NULL), CHECK (created_by IS NOT NULL), CHECK (display_type IS NOT NULL), CHECK (id IS NOT NULL), CHECK (item_type_id IS NOT NULL), CHECK (name IS NOT NULL), CHECK (unit IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (created_by), NOT NULL (display_type), NOT NULL (id), NOT NULL (item_type_id), NOT NULL (name), NOT NULL (unit), NOT NULL (updated_at)",,,,,,,,
sales_stop_settings,settings,settings,settings,no,null,sales_stop_settings_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,UI Created,activity log,,,,,
sales_stop_touchpoint_assignments,workflows,touchpoints are assigned to buckets here ,"core structure - when entities are updated with actions we assign those actions as a touchpioint, when it is satisfied the entity moves to the next touchpoint - potentially shifting buckets, drives or tracks",yes,null,sales_stop_touchpoint_assignments_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,entity workflow - user or system,,,,,,
sales_stop_types,identification,workflows,bucket identification - custom to your workflow,yes,null,sales_stop_types_pkey,"CHECK (id IS NOT NULL), CHECK (stop_name IS NOT NULL), PRIMARY KEY (id), NOT NULL (stop_name)",,UI created,,,,,,
sales_stops,worfklow entities,"entities are filtered to the buckets through the tracks, drives, to the bucket.  buckets contain touchpoints.  touchpoints are assigned to entities when need touch for work done",organizational workflow tool,yes,null,sales_stops_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
sales_track_departments,,,,,null,sales_track_departments_pkey,"CHECK (department_id IS NOT NULL), CHECK (id IS NOT NULL), CHECK (track_id IS NOT NULL), PRIMARY KEY (id), NOT NULL (department_id), NOT NULL (track_id)",,,,,,,,
sales_track_drives,joining_tables,,"Links sales tracks to drives, defining the path that drives can follow within the sales process.",,null,sales_track_drives_pkey,"CHECK (drive_id IS NOT NULL), CHECK (id IS NOT NULL), CHECK (track_id IS NOT NULL), PRIMARY KEY (id), NOT NULL (drive_id), NOT NULL (track_id)",,,,,,,,
sales_track_types,identification,workflows,"Categorizes different sales process tracks, supporting the salesBlanket system of salesDrives, salesTracks, and salesStops.",,null,sales_track_types_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
sales_tracks,entities,workflows,"entities - especially leads AKA opportunities, addresses, and contacts all drive on the track to success!",yes,null,sales_tracks_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
saved_filters,entity management,workflows,"preset filters for tracks, drives, buckets, and touchpoints",yes,"saved_filters_created_by_fkey: created_by → users.id
saved_filters_entity_type_id_fkey: entity_type_id → entity_types.id",saved_filters_pkey,"CHECK (filter_definition IS NOT NULL), CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), FOREIGN KEY (created_by) REFERENCES users(id), FOREIGN KEY (entity_type_id) REFERENCES entity_types(id), PRIMARY KEY (id), NOT NULL (filter_definition), NOT NULL (name)",,,,,,,,
social_media_interactions,marketing,,Records interactions from social media platforms that may lead to lead generation or customer engagement.,,social_media_interactions_digital_lead_id_fkey: digital_lead_id → digital_leads.id,social_media_interactions_pkey,"CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (interaction_type IS NOT NULL), CHECK (platform IS NOT NULL), FOREIGN KEY (digital_lead_id) REFERENCES digital_leads(id), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (id), NOT NULL (interaction_type), NOT NULL (platform)",,,,,,,,
spatial_ref_sys,geo spacial,system,system,system,null,spatial_ref_sys_pkey,"PRIMARY KEY (srid), NOT NULL (srid)",,,,,,,,
streets,geo spacial entities,neighborhoods,used to organize a street of addresses for a team to sell,no,null,streets_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (id), NOT NULL (name)",,,,,On creation: Check for matching neighborhood,,,
team_goals,goals,sales management,team goals for canvassing / closer teams,yes,null,team_goals_pkey,"CHECK (created_at IS NOT NULL), CHECK (created_by IS NOT NULL), CHECK (id IS NOT NULL), CHECK (title IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (created_by), NOT NULL (id), NOT NULL (title), NOT NULL (updated_at)",,,,,,,,
team_members,organizational,assign users to a team to grant additional views,can be used with geo spacial neighborhoods and streets,yes,team_members_team_id_fkey: team_id → teams.id,"team_members_team_id_user_id_key, team_members_pkey","CHECK (id IS NOT NULL), PRIMARY KEY (id), UNIQUE (team_id), UNIQUE (user_id)",,,,,,,,
team_neighborhoods,organizational,assignments,,,null,team_neighborhoods_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
team_settings,settings,settings,settings,no,null,team_settings_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
teams,organizational entities,entity that holds the record of the team ,set your team status to active or not,,null,teams_pkey,"CHECK (id IS NOT NULL), CHECK (is_active IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
touchpoint_achievements,tracking,touchpoints,,,"touchpoint_achievements_achievement_type_id_fkey: achievement_type_id → entity_achievement_types.id
touchpoint_achievements_touchpoint_code_id_fkey: touchpoint_code_id → touchpoint_types.id",touchpoint_achievements_pkey,"CHECK (id IS NOT NULL), FOREIGN KEY (achievement_type_id) REFERENCES entity_achievement_types(id), FOREIGN KEY (touchpoint_code_id) REFERENCES touchpoint_types(id), PRIMARY KEY (id)",,,,,,,,
touchpoint_applicable_entities,view access,defines what touchpoints can be applied to which entity types,fully custom,yes,"touchpoint_applicable_entities_entity_type_id_fkey: entity_type_id → entity_types.id
touchpoint_applicable_entities_touchpoint_code_id_fkey: touchpoint_code_id → touchpoint_types.id",touchpoint_applicable_entities_pkey,"CHECK (id IS NOT NULL), FOREIGN KEY (entity_type_id) REFERENCES entity_types(id), FOREIGN KEY (touchpoint_code_id) REFERENCES touchpoint_types(id), PRIMARY KEY (id)",,,,,,,,
touchpoint_types,identification,workflows,"Defines different types of customer interactions or ""touchpoints,"" supporting salesBlanket's customer engagement tracking.",,null,touchpoint_types_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
touchpoints,entities,workflows,"key accomplishments to move entities from one bucket to another, potentially driving the lead to another track.",yes,"touchpoints_address_id_fkey: address_id → addresses.id
touchpoints_contact_id_fkey: contact_id → contacts.id
touchpoints_entity_type_id_fkey: entity_type_id → entity_types.id
touchpoints_opportunity_id_fkey: opportunity_id → opportunities.id
touchpoints_user_id_fkey: user_id → users.id
touchpoints_zone_id_fkey: zone_id → zones.id",touchpoints_pkey,"CHECK (id IS NOT NULL), FOREIGN KEY (address_id) REFERENCES addresses(id), FOREIGN KEY (contact_id) REFERENCES contacts(id), FOREIGN KEY (entity_type_id) REFERENCES entity_types(id), FOREIGN KEY (opportunity_id) REFERENCES opportunities(id), FOREIGN KEY (user_id) REFERENCES users(id), FOREIGN KEY (zone_id) REFERENCES zones(id), PRIMARY KEY (id)",,,,,,,,
user_analytics,tracking,ai ML model will be learning sales rep behavior to imrove analytics,,,user_analytics_user_id_fkey: user_id → users.id,"idx_analytics_entity, user_analytics_pkey, idx_analytics_user_time, idx_analytics_meta, idx_analytics_device, idx_analytics_ip","CHECK ((jsonb_typeof(device) = 'object'::text)), CHECK ((jsonb_typeof(geo) = 'object'::text)), CHECK ((jsonb_typeof(meta) = 'object'::text)), CHECK (action IS NOT NULL), CHECK (id IS NOT NULL), FOREIGN KEY (user_id) REFERENCES users(id), PRIMARY KEY (id), NOT NULL (action)",,,,,,,,
user_filters,filters,workflows,user can preset filters,no - second release,"user_filters_filter_id_fkey: filter_id → saved_filters.id
user_filters_user_id_fkey: user_id → users.id",user_filters_pkey,"CHECK (id IS NOT NULL), FOREIGN KEY (filter_id) REFERENCES saved_filters(id), FOREIGN KEY (user_id) REFERENCES users(id), PRIMARY KEY (id)",,,,,,,,
user_google_tokens,tracking,marketing,website component - salesBlanket offers custom website service ,,user_google_tokens_user_id_fkey: user_id → users.id,"user_google_tokens_pkey, idx_user_google_tokens_user_id","CHECK (access_token IS NOT NULL), CHECK (created_at IS NOT NULL), CHECK (expiry_date IS NOT NULL), CHECK (id IS NOT NULL), CHECK (updated_at IS NOT NULL), CHECK (user_id IS NOT NULL), FOREIGN KEY (user_id) REFERENCES users(id), PRIMARY KEY (id), NOT NULL (access_token), NOT NULL (expiry_date), NOT NULL (user_id)",,,,,,,,
user_roles,organizational,assign roles to users ,you can set custom view by way of table permission to customize the access,yes,null,user_roles_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
user_settings,settings,settings,settings,no,null,user_settings_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
user_view_preferences,settings,settings,settings,no,null,user_view_preferences_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
user_zone_scope,geo spacial entities,permissions and access,granule control,no,null,user_zone_scope_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
users,organizational entities,user record needed to access the application,we have flags for external users on creation - they expire.,yes,null,"users_email_key, users_pkey, users_username_key","CHECK (email IS NOT NULL), CHECK (id IS NOT NULL), CHECK (password_hash IS NOT NULL), CHECK (username IS NOT NULL), PRIMARY KEY (id), UNIQUE (email), UNIQUE (username), NOT NULL (email), NOT NULL (password_hash), NOT NULL (username)",,,,,,,,
view_configurations,configurations,system,on startup,yes,null,view_configurations_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
view_types,identification,system,"Defines different ways to visualize and interact with data in the salesBlanket application, supporting customizable user interfaces.",,null,view_types_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
visitor_sessions,tracking,marketing,,,null,visitor_sessions_pkey,"CHECK (created_at IS NOT NULL), CHECK (id IS NOT NULL), CHECK (session_id IS NOT NULL), CHECK (visit_start IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (id), NOT NULL (session_id), NOT NULL (visit_start)",,,,,,,,
work_types,opportunities,opportunities,"Defines types of work that can be performed, such as Roofing, Siding, and Gutters.",,work_types_created_by_fkey: created_by → users.id,work_types_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), FOREIGN KEY (created_by) REFERENCES users(id), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
zone_goals,goals,sales management,zone oriented goals - large teams,no,null,zone_goals_pkey,"CHECK (created_at IS NOT NULL), CHECK (created_by IS NOT NULL), CHECK (id IS NOT NULL), CHECK (title IS NOT NULL), CHECK (updated_at IS NOT NULL), PRIMARY KEY (id), NOT NULL (created_at), NOT NULL (created_by), NOT NULL (id), NOT NULL (title), NOT NULL (updated_at)",,,,,,,,
zone_hierarchies,hierarchy,each company can build as many zones as they want - this creates parental rules,manages territory,no,null,zone_hierarchies_pkey,"CHECK (id IS NOT NULL), PRIMARY KEY (id)",,,,,,,,
zone_types,identification,geo organizational,"Categorizes different types of geographical pricing zones, supporting salesBlanket's zone-based pricing model that allows for location-specific pricing.",,null,zone_types_pkey,"CHECK (display_name IS NOT NULL), CHECK (id IS NOT NULL), PRIMARY KEY (id), NOT NULL (display_name)",,,,,,,,
zones,geo spacial entities,organize your empire with zones,supercharging neighborhoods,no,null,zones_pkey,"CHECK (id IS NOT NULL), CHECK (name IS NOT NULL), PRIMARY KEY (id), NOT NULL (name)",,,,,,,,
